name,email,ssn,phone,address,transaction_amount,product,date,product_category,payment_method,store_location,customer_feedback,delivery_time_days,product_rating,quantity,brand
Heather Velasquez,fisherjeffery@example.com,554-51-9985,776-968-7014x3231,"869 Michael Summit Suite 568, New Corey, PA 54453",7718.6,all,2017-10-19,Furniture,Credit Card,"West Bryan, New Mexico",Fast shipping,8,4.3,1,Apple
Barry Obrien,elizabeth24@example.org,050-95-1754,(873)254-7236,"864 Smith Place Suite 462, North Christinestad, NE 86487",8084.1,force,2019-04-20,Electronics,Cash,"West Crystal, Tennessee",Fast shipping,6,2.6,1,Nike
Nathan Moore,chapmanstephen@example.com,854-98-4929,475-993-2969x41301,"2662 Brandy Isle, East Frederick, OK 10729",1642.5,budget,2014-06-19,Clothing,Credit Card,"Lake Michaeltown, Alaska",Okay,6,2.3,5,Nike
Tony Burke,jonathanwilliams@example.com,449-94-0894,+1-312-986-9305x69334,"647 Brittany Alley Suite 352, Lake Michael, MS 94515",5954.17,score,2010-04-27,Furniture,Cash,"Mendozatown, Wisconsin",Poor quality,6,4.4,1,Nike
Samuel Perez,harold20@example.com,021-13-2303,930.711.3784x06468,"Unit 2234 Box 0685, DPO AE 58072",2185.2,movement,2007-07-03,Toys,Net Banking,"Floresstad, Connecticut",Poor quality,7,1.2,4,Samsung
Scott Donovan,thomas24@example.com,272-93-5445,8282774028,"2437 Donna Alley Suite 802, Robinsontown, NM 08959",2050.11,environmental,1992-08-12,Books,UPI,"Sanchezshire, Oklahoma",Poor quality,10,2.1,2,Apple
Regina Perkins MD,melendeznathan@example.net,370-50-7737,917-906-1986,"50104 Michael Neck Suite 641, West Aaron, CA 55525",6296.14,science,2006-08-05,Grocery,Cash,"Port Tammiestad, North Dakota",Fast shipping,9,4.5,4,Sony
Nicolas Williams DDS,joseph55@example.net,224-43-9916,+1-889-725-9878x05551,"314 Mcfarland Vista, North Robertville, AS 37126",889.19,war,1978-09-20,Grocery,PayPal,"North Kimberlychester, Iowa",Fast shipping,1,2.8,4,Apple
David Garcia,lisa38@example.com,517-38-6139,001-867-312-3243x05258,"00176 Lewis Isle, Port Maryberg, MI 59515",4414.83,of,2023-01-07,Books,Net Banking,"Davisbury, Indiana",Great service!,9,4.5,4,Ikea
Dana Melendez,paulahaas@example.net,722-52-0241,001-588-390-5488x067,"933 Combs Pike, East Amyfort, FM 38856",6599.21,suddenly,2010-10-02,Electronics,Credit Card,"New Johnhaven, Kansas",Not satisfied,1,1.0,4,Samsung
Samantha Mcgee,lindsey35@example.com,399-10-4226,5224087097,"710 Chaney Tunnel Suite 690, East Jessica, PA 06924",1431.45,which,2010-05-06,Furniture,Net Banking,"Davisburgh, New Hampshire",Poor quality,8,2.6,4,Adidas
Michael Hughes,emilygregory@example.net,498-33-4970,635-511-3368x63982,"475 Potts Route, Curtisborough, MS 18225",890.75,still,2011-10-01,Clothing,Net Banking,"New Ginaburgh, Oklahoma",Not satisfied,5,3.5,4,Samsung
Lindsey Thompson,parkerkatelyn@example.net,668-09-3730,001-591-452-1533x057,"804 Macias Square Apt. 457, Lake Alison, NE 82174",3162.0,leg,1999-10-09,Home,Net Banking,"Port Taraville, West Virginia",Great service!,1,1.4,2,Adidas
Thomas Anderson,richardsjessica@example.net,735-65-5530,334.720.9110,"PSC 3973, Box 4132, APO AP 29558",6793.75,dark,1998-05-24,Electronics,Net Banking,"South Matthewton, Florida",Not satisfied,9,3.4,4,Nike
Thomas Morales,deanna10@example.org,146-82-2704,+1-357-243-1241x25461,"0616 Wilson Road Suite 445, North Melvin, FM 09336",798.91,save,1976-04-26,Electronics,Debit Card,"Jacobside, Tennessee",Okay,1,2.0,2,Apple
Erik Patterson,wongduane@example.org,441-80-4987,5522856121,"PSC 9757, Box 5873, APO AA 63894",8171.51,door,2017-07-10,Home,Credit Card,"Annport, Wyoming",Not satisfied,1,1.1,5,LG
David Lowe MD,joel00@example.com,426-43-3477,932.971.7892x326,"2126 Kimberly Light Suite 434, Lake Ryan, WY 51523",6418.53,imagine,1990-12-24,Grocery,PayPal,"Coreyshire, West Virginia",Great service!,6,3.1,4,Nike
Anthony Ware,stephen94@example.com,083-56-7542,+1-997-318-2182x70331,"141 Fischer Glens Apt. 806, Lake Sherry, MH 24357",5088.36,down,2009-08-06,Furniture,Net Banking,"Port Mary, Utah",Great service!,4,1.7,4,Samsung
Holly Maxwell,johnfoster@example.net,658-75-6820,001-867-599-8091x1252,"4464 Larson Stravenue Suite 722, South Allisonburgh, ND 42791",2854.8,little,1986-09-18,Clothing,Debit Card,"North Paigefurt, Oregon",Okay,9,1.2,5,Ikea
Timothy Leon,sarahhendricks@example.org,487-07-2199,+1-956-673-5418x31918,"92837 Allen Via Apt. 747, Clintontown, NM 39257",6919.23,see,1993-08-28,Toys,Credit Card,"West Thomas, Indiana",Poor quality,6,4.2,2,Samsung
Brandon Franklin,anthony27@example.net,565-64-2603,001-588-738-6032x045,"3704 Joanna Knolls Suite 566, New Jodiville, VA 78477",946.14,part,1973-06-05,Grocery,Debit Card,"Jakeville, Wyoming",Poor quality,4,3.5,1,Ikea
Steven Walsh,hallkara@example.org,838-73-7519,6336571176,"22737 Moore Pine Apt. 844, Reevesborough, TN 98356",5720.96,thank,1970-04-08,Grocery,Cash,"Lake Kyle, Connecticut",Okay,5,3.7,1,Adidas
Stephen Martin,hking@example.com,857-63-9654,868.948.5181,"USCGC Lewis, FPO AP 30517",7115.79,even,1998-10-19,Clothing,Debit Card,"South Kaylatown, New Jersey",Fast shipping,2,2.6,1,LG
Jennifer Bautista,xward@example.org,540-26-1944,665.713.3959,"14995 Ryan Glens, Lake Andreahaven, MD 23635",1035.62,direction,2012-03-31,Books,Cash,"Herreraport, Pennsylvania",Poor quality,5,1.6,5,Nike
Amber Carter,kimberly61@example.org,645-93-9619,001-609-573-3064x1222,"Unit 4523 Box 4928, DPO AE 31853",3825.44,participant,1972-10-20,Books,PayPal,"Lake James, Oklahoma",Okay,5,1.2,5,Nike
Stephanie Fowler,amandaclark@example.com,388-18-2465,434-861-4878,"1668 Kyle Mills Apt. 387, New Cathy, AK 39165",2686.93,discuss,1971-04-24,Furniture,Credit Card,"North Jessicaburgh, Arizona",Poor quality,5,2.6,2,Ikea
Michelle Randall,angelmccarthy@example.org,760-79-1968,+1-918-731-2146,"045 Parrish Skyway Suite 944, Lake Sethmouth, MN 26533",2861.71,adult,2003-08-14,Electronics,UPI,"North Carolyn, New Jersey",Fast shipping,3,3.5,5,Samsung
Michele Hernandez,garciakaren@example.com,271-26-0528,547.597.2596x33995,"334 Mckee Loaf Apt. 772, North Brian, AR 93449",4269.78,throw,2003-10-31,Furniture,Net Banking,"Webbland, Maine",Great service!,3,4.8,5,Samsung
Jacqueline Howard,zclark@example.org,328-63-0388,616-676-6586x7267,"9162 Williams Islands Suite 398, East Sean, WA 83475",4304.0,professional,2022-01-16,Books,PayPal,"Port Thomasfurt, Louisiana",Poor quality,8,1.7,4,Nike
Luis Huff,dkirby@example.org,728-40-6835,001-323-496-1545x8150,"4268 Keller Lights, Rogersview, PW 43370",3669.4,lose,1983-09-08,Grocery,PayPal,"East Lindsey, California",Not satisfied,8,3.8,1,Samsung
Christina Clark,ana17@example.com,241-71-4859,001-789-718-9611,"58443 Chase Cove Apt. 620, Port Robert, NJ 46892",8542.26,structure,2009-05-24,Books,Debit Card,"Lake Joshuaview, Arkansas",Will buy again,7,3.4,1,Apple
Doris Moore,nicholasortiz@example.org,764-40-3624,(226)896-3447,"951 Martha Roads, Carrollport, UT 50930",9150.45,piece,1975-01-14,Grocery,Net Banking,"West Thomasmouth, Wisconsin",Poor quality,10,2.7,5,Adidas
Linda Webb,donaldrubio@example.org,568-46-0869,(595)607-5723x0278,"95818 Rodney Tunnel, West Barbaraland, CO 07629",2205.81,peace,2008-12-26,Toys,Cash,"Davismouth, Indiana",Fast shipping,8,1.8,2,Nike
Eugene Young,chad79@example.com,298-87-6113,+1-439-408-8481x2389,"19338 Sandra Courts, South Devinmouth, GA 36050",5573.46,sister,1976-10-21,Grocery,UPI,"Port Christianfurt, Wyoming",Fast shipping,6,4.1,3,LG
Brett Clark,samantha23@example.com,255-08-5681,001-403-512-4374x79603,"USNV Compton, FPO AA 51707",2898.53,charge,2014-11-16,Toys,UPI,"Port Jeffrey, Tennessee",Great service!,3,2.7,5,LG
Judy Smith,angelawilliams@example.net,358-49-1770,7546915327,"44587 Hudson Fords, Kathrynchester, OH 90068",2246.33,student,1989-04-25,Clothing,PayPal,"West Kristenland, Georgia",Great service!,10,3.8,5,LG
Jessica Bailey,fisheralan@example.net,565-03-1344,(551)587-6412,"985 Joshua Radial Suite 215, Brianfort, MP 03221",5245.6,lose,1973-06-13,Electronics,PayPal,"Lake Lorichester, Alaska",Not satisfied,4,3.7,5,Samsung
Kenneth Dillon,ufoster@example.org,496-47-4635,312.211.3102x134,"92845 Galloway Mountain Apt. 891, West Benjamin, MH 62964",2303.51,hand,1993-01-12,Grocery,PayPal,"Loganview, Delaware",Poor quality,5,4.9,2,Samsung
Christina Middleton,barbara75@example.org,598-12-0067,277-769-8513x7532,"0013 Lopez Dam, Johnport, RI 04373",2691.5,that,1974-10-06,Grocery,Cash,"North Susan, New Hampshire",Fast shipping,10,3.5,4,Nike
Judy Jones,yharris@example.org,727-56-1201,+1-947-352-7329x417,"0739 Marquez Points Suite 963, Yorkville, CO 40545",6238.92,growth,1979-11-18,Grocery,UPI,"New Randallshire, Missouri",Great service!,2,3.3,4,Nike
Bobby Hamilton,brianpowell@example.net,515-84-6382,789.774.0888,"933 Amanda Plains Apt. 768, South Martin, AK 15576",7293.69,since,2009-10-30,Clothing,UPI,"Parkerside, Illinois",Poor quality,5,4.3,4,Apple
Kayla Flores,kayla84@example.net,771-23-5391,819.823.1475x078,"897 Andersen Village, Ashleyside, FM 05142",892.58,begin,2013-02-21,Toys,Credit Card,"New Erica, Iowa",Will buy again,7,1.6,3,Ikea
Julie Quinn,owilcox@example.net,138-63-4720,233.884.6464x23359,"456 Steven Mall, New Sandraton, VA 31690",3024.71,whole,2006-08-11,Home,Debit Card,"South Kaylafurt, Rhode Island",Poor quality,4,1.2,2,Apple
Melanie Evans,wbennett@example.org,218-10-5917,+1-699-366-6799x92869,"45618 Rodriguez Knoll Apt. 626, West John, WY 16765",3166.97,eight,2021-10-14,Books,Credit Card,"West Brianchester, Maine",Okay,7,4.3,2,Sony
Mr. Keith Smith PhD,summer08@example.org,882-08-8284,001-984-409-0529,"PSC 0434, Box 1286, APO AA 29815",7969.75,nearly,2022-10-12,Electronics,Cash,"Garyhaven, Florida",Not satisfied,8,3.7,2,Samsung
Bobby Wade,steven71@example.net,003-24-9790,+1-974-282-0571x637,"94630 Carlson Freeway, New Sabrinahaven, OR 76215",6464.54,wonder,1981-12-05,Home,Debit Card,"Lake Jenniferview, Oregon",Poor quality,9,3.0,5,Adidas
Anthony Hopkins,solomonkristen@example.net,793-91-3513,502-735-7216x4897,"627 Henson Brook, Xaviertown, CO 07974",27.71,fish,2021-01-13,Clothing,Debit Card,"West Kevinmouth, Arkansas",Great service!,1,2.0,3,Samsung
Christopher Thomas,ericamichael@example.com,051-40-0930,956.443.8910x4336,"40898 Daisy Mews, Brandonview, GA 73813",2684.74,how,2007-12-26,Electronics,Cash,"West Aaron, Alaska",Fast shipping,10,3.7,3,Adidas
William Castaneda,asanchez@example.org,069-11-6397,786.401.3713x9109,"59378 Edward Port Suite 430, Thompsonfurt, VA 15759",4496.5,movie,1995-02-03,Furniture,Net Banking,"North Anthonyville, Nebraska",Okay,4,3.4,1,Adidas
Jonathan Carr,nelsonjorge@example.com,297-36-9551,001-812-871-5475,"Unit 0163 Box 0381, DPO AA 54308",5388.0,total,1972-07-07,Home,Debit Card,"Lake Tamara, Minnesota",Okay,9,2.6,3,Apple
Amber Hall,utapia@example.net,661-29-9318,+1-652-598-0718x3878,"432 Brian Field, Stewartfort, WI 99032",1807.4,language,2004-03-22,Books,PayPal,"Katrinafort, Colorado",Fast shipping,6,3.8,4,Apple
Jason Simpson,pchapman@example.com,280-55-4254,001-277-951-2584x283,"PSC 2126, Box 6071, APO AE 28679",2726.84,kitchen,2014-10-06,Home,Credit Card,"Lake Jennifer, Iowa",Great service!,4,2.4,1,Ikea
Reginald Bray,andrewrusso@example.org,707-56-4847,+1-592-352-3283,"81735 Ellis Ville Suite 105, Pruittton, MD 67993",9744.63,large,1994-08-25,Toys,Credit Card,"Pattonfurt, Minnesota",Not satisfied,4,4.8,5,Sony
Teresa Alvarez,lauraosborn@example.org,525-11-5379,001-858-741-9704,"649 Berry Plains Suite 198, Port Kristina, WA 87591",4551.2,while,2007-12-15,Home,Net Banking,"Molinachester, West Virginia",Fast shipping,9,4.0,4,LG
Ryan Kerr,melissa09@example.net,485-05-8779,(245)504-5911x973,"616 Wilson Pines Suite 983, Herrerahaven, NJ 06123",1216.26,head,1998-05-07,Toys,Credit Card,"New Jacqueline, Vermont",Will buy again,3,2.1,5,Samsung
Rachel King,margaret80@example.com,782-83-0289,678-853-1278x1103,"1594 Blake Estate Suite 284, Lake Michellemouth, VI 63449",8509.45,eye,1992-11-11,Clothing,PayPal,"Sanchezville, Hawaii",Not satisfied,8,3.3,4,LG
Eric Huff,lindafisher@example.com,657-29-8603,001-240-448-6995x822,"76877 Cox Views, South Davidstad, WV 63465",3413.19,keep,1973-03-22,Toys,Net Banking,"Port Ericborough, Idaho",Fast shipping,3,4.3,4,Ikea
William Atkinson,glee@example.com,311-68-0542,(484)211-1990x4823,"194 Beard Valley Suite 807, West Brittanyville, OK 25931",9125.42,it,1997-08-24,Furniture,PayPal,"East Marytown, Montana",Poor quality,1,1.2,4,Samsung
Austin Marks,ybrown@example.org,634-65-6006,(416)830-8540x93362,"95082 Tina Island, Bryanburgh, IL 83884",6230.11,hundred,1993-12-24,Books,PayPal,"South Robin, Texas",Poor quality,10,2.6,5,Apple
Anna Johnson,dickersonryan@example.com,656-65-4155,+1-389-379-6139x714,"45392 Tricia Square, East Bonnie, CA 11386",5096.76,perform,2007-06-30,Grocery,Net Banking,"East Kennethshire, Florida",Not satisfied,10,1.0,3,Nike
Douglas Lara,whitekerry@example.net,353-42-8154,(957)373-6495x9676,"67767 Irwin Heights Suite 974, West Sarah, VI 39724",5513.93,region,2017-05-10,Electronics,Credit Card,"South Destiny, Colorado",Not satisfied,8,1.6,3,Nike
Joseph Carr,taylorkyle@example.org,386-42-8961,867-475-2490x1515,"66007 Selena Square Suite 671, South Meganfort, CT 04732",8574.12,cause,1989-04-06,Books,Cash,"Jessicaland, West Virginia",Okay,4,1.1,3,Ikea
Elizabeth Jordan,richard84@example.org,373-59-1735,700.906.0974x63040,"5935 Laura Islands, Simmonsburgh, LA 91639",3562.95,computer,2001-12-25,Electronics,Debit Card,"West Rebecca, Maryland",Great service!,4,2.8,5,Samsung
Nicole Hill,deborah65@example.com,790-18-6927,535.561.6935,"01097 Bruce Club Apt. 544, North Bryan, PR 25433",1598.83,for,2006-08-23,Toys,UPI,"Graybury, Florida",Okay,8,1.2,2,Nike
Danielle Walker,blakemartinez@example.net,205-15-3710,9333233102,"USNS Moore, FPO AP 04713",8704.1,senior,2017-12-09,Books,Cash,"West Sheila, North Dakota",Will buy again,8,2.6,5,LG
Cathy Nolan,upark@example.net,655-10-5151,666-522-8073x01333,"6040 Vanessa Street, South Andrewtown, UT 68339",9644.29,cup,1974-12-17,Home,Debit Card,"Valenzuelaborough, Ohio",Fast shipping,2,1.8,3,Sony
Michelle Moreno,rogersanthony@example.net,129-01-8018,564-404-0083,"006 Adams Ports Apt. 078, East Eileen, TX 20193",603.92,image,1987-02-25,Electronics,PayPal,"Williamschester, Tennessee",Great service!,3,1.1,3,Adidas
Carolyn Coleman,courtneygraham@example.com,170-01-1133,704-521-4595x70746,"257 Nelson Mews, West Thomas, PA 43111",8.44,Republican,1974-01-21,Home,Credit Card,"Grahamville, South Dakota",Poor quality,8,3.8,3,LG
Brandy Fox,msmith@example.com,461-43-8960,9445571940,"46650 Morris Crossroad Suite 217, South Catherinefort, MS 22785",7242.34,mission,1989-03-07,Furniture,UPI,"Schroederside, New Jersey",Not satisfied,3,2.2,1,Adidas
Christopher Castro,zmercado@example.org,534-38-8438,6164084596,"49152 Emily Squares, New Melanie, MD 60288",8330.71,move,2015-04-24,Electronics,Debit Card,"Reneestad, South Dakota",Not satisfied,2,3.4,5,Sony
Kenneth Holloway,kirk55@example.com,841-54-3391,(612)438-7769x0942,"Unit 4994 Box 3666, DPO AE 04720",4682.77,far,1985-07-01,Toys,Net Banking,"South Marcus, Texas",Not satisfied,2,2.0,3,LG
Benjamin Cox,dfarrell@example.org,867-12-2135,001-923-497-7241,"95285 Mary Ridges, North Tonya, VT 12938",3917.34,information,1978-06-09,Clothing,Net Banking,"West Heather, South Dakota",Poor quality,10,2.4,2,LG
Cameron Johnson,matthew17@example.com,110-60-9095,001-352-734-7263x58197,"7251 Mooney Squares Suite 367, New Matthew, NC 34722",1678.88,own,1987-09-14,Electronics,Cash,"Lake Richard, South Dakota",Okay,4,4.7,4,Nike
Mary Rowland,jason32@example.net,881-02-3120,001-653-313-4933x9616,"233 Garza Road Apt. 428, Juanport, AL 86478",7088.75,six,1988-06-04,Books,Debit Card,"Hannahchester, Kansas",Not satisfied,1,4.7,5,Apple
Steven Patton PhD,johnsonlisa@example.com,740-35-5811,847.890.3401,"7407 Michael Mountain, Wareland, NH 95489",3871.84,phone,1997-05-17,Furniture,Credit Card,"Johnsonville, Tennessee",Great service!,3,3.1,1,LG
Angel Griffin,christophernelson@example.net,287-48-5625,355.573.0902x54506,"USCGC Chang, FPO AP 30169",3427.84,bank,2021-06-03,Clothing,UPI,"Copelandport, New Hampshire",Fast shipping,3,2.7,5,Samsung
Julia Stephenson,karen93@example.com,625-09-8208,+1-558-430-6894x2168,"553 Fields Run Apt. 946, Reneehaven, NM 80548",7687.57,especially,2004-10-15,Grocery,UPI,"North Timothyside, Oregon",Okay,4,2.6,3,Adidas
Jeffery Vaughn,christopher62@example.org,811-64-0918,+1-903-670-8260x41095,"844 Casey Green, Butlerberg, KY 41165",1966.48,suggest,1971-11-25,Books,PayPal,"Goodmanmouth, South Carolina",Okay,9,1.1,3,Nike
Robert Lawrence,jamescruz@example.net,434-68-3855,7397541256,"10232 Christopher Ridge Apt. 044, Cookborough, WV 12216",6006.52,else,2002-11-02,Toys,UPI,"Davidburgh, Colorado",Not satisfied,9,3.5,2,Apple
Amanda Torres,bcunningham@example.org,817-75-7565,(956)581-9101,"1151 Smith Fields, Port Ruthstad, MP 57905",2728.58,help,2006-07-31,Home,PayPal,"Aguilartown, Missouri",Will buy again,6,3.1,5,Adidas
William Wall,xhammond@example.com,774-49-6550,4926884965,"97789 Karen Avenue Apt. 281, Aprilfort, NE 72424",9012.48,Mr,2019-04-27,Books,PayPal,"Melissachester, Arkansas",Will buy again,6,2.2,4,Ikea
Christopher Lambert,normanjamie@example.org,626-85-4203,525-656-6623x2459,"184 Kara Junction, Jacobhaven, NE 21439",8952.49,turn,2015-06-04,Books,Debit Card,"West Kyle, Mississippi",Will buy again,8,2.3,2,Apple
Dr. Jacqueline Santiago,colebrewer@example.org,400-42-7459,+1-302-585-0437x46901,"386 Jonathan Mall Apt. 657, South Earl, AK 97837",2239.61,especially,1975-01-07,Home,Debit Card,"Ashleyview, Wisconsin",Fast shipping,1,4.2,3,Apple
Jason Figueroa,milesamy@example.org,452-44-5143,001-770-319-1553,"0252 Jacqueline Mountain, Nelsonberg, AZ 25836",5847.18,current,2015-09-14,Clothing,Credit Card,"Michaelbury, Wisconsin",Poor quality,5,2.9,1,LG
Anna Stewart,tli@example.com,236-18-8247,001-972-764-1173x939,"58150 Andrews Light Suite 361, Turnerview, MH 62764",6535.48,series,2007-09-22,Clothing,Cash,"Nathanielville, Washington",Not satisfied,7,2.5,5,Apple
Taylor Castillo,hmoore@example.org,448-32-3443,519.791.9628x9529,"4237 Jeff Motorway Apt. 203, Warrenton, VA 40045",9277.78,foreign,1988-05-01,Toys,Net Banking,"Jimmyport, Montana",Will buy again,8,3.1,1,Nike
Timothy Hansen,ygardner@example.com,768-42-6924,2083862590,"41896 Sosa Trafficway, Millerport, NJ 95600",3905.63,join,2013-04-10,Home,Cash,"Tannerborough, South Carolina",Not satisfied,5,1.3,3,Apple
Dr. Angelica Barnett,lisa53@example.net,405-62-8356,2526339751,"46166 Marshall Cape, Michaelton, ME 73895",2681.75,energy,2021-11-20,Grocery,Net Banking,"Mendezfort, New Mexico",Not satisfied,2,3.2,1,Adidas
Angela Griffin,caitlinmarshall@example.com,264-70-1581,323-296-9665x390,"Unit 0969 Box 2923, DPO AP 70439",2120.77,board,2001-11-06,Grocery,Credit Card,"South Shelby, Iowa",Poor quality,1,2.1,5,Samsung
Robert Welch,dunnchristine@example.org,552-36-0253,5669032459,"49758 Judy Forge, New Roberttown, WV 95883",2015.37,phone,1978-03-21,Toys,Debit Card,"East Jeremy, Wisconsin",Poor quality,7,4.5,5,Ikea
Caitlyn Callahan,ohoward@example.org,529-39-8265,001-475-554-8052x7827,"91816 Boyle Extensions, Kimfurt, TX 09950",4399.91,east,1977-12-02,Electronics,Net Banking,"Hicksmouth, Utah",Okay,7,4.6,4,Samsung
David Reese,elewis@example.org,387-39-8973,(369)234-9119,"70254 Tamara Gateway, Howeborough, VT 31078",6079.62,role,1988-09-07,Electronics,PayPal,"Port Coreyshire, New Hampshire",Will buy again,5,2.1,1,Sony
Todd Vargas,christinearnold@example.org,506-15-5506,(239)203-0055x4578,"54167 Shannon Freeway, Davidtown, WA 74681",4457.44,quickly,2008-11-29,Electronics,UPI,"Kevintown, Montana",Poor quality,3,3.1,4,Nike
Erika Edwards,trocha@example.org,290-17-6053,278.644.6555,"5869 Aaron Squares, South Maria, WY 68739",5219.65,remember,1989-01-31,Electronics,PayPal,"Grayside, Michigan",Fast shipping,7,2.0,5,LG
Kathy Williams,hpowell@example.net,517-40-2436,+1-393-269-4930x8552,"886 Rowe Heights Suite 774, Garyport, IN 95461",2533.66,threat,1995-10-22,Clothing,UPI,"Maryfurt, Nebraska",Poor quality,3,4.0,4,Sony
Kimberly Smith,erin54@example.org,095-17-6819,+1-343-422-7354x2868,"PSC 8114, Box 1111, APO AP 10482",3134.96,suddenly,1999-07-09,Grocery,Credit Card,"Lake Alexandrachester, Mississippi",Will buy again,5,3.3,2,Nike
Kelly Park,tirwin@example.org,009-40-8965,761.396.4188,"653 Garcia Port, Tiffanyside, WV 65534",3968.83,now,1989-03-28,Electronics,Credit Card,"Boydton, Florida",Okay,9,4.1,3,Apple
Robert Bowen,james20@example.net,253-57-2018,217-879-2042,"032 Richard Squares Apt. 508, Annaborough, VI 72070",5023.31,technology,1985-03-23,Furniture,Debit Card,"New Kennethshire, Massachusetts",Fast shipping,5,1.8,2,Samsung
Jose Roy,randerson@example.org,405-89-5443,(933)620-1687x2524,"USNV Reynolds, FPO AP 18941",8904.28,group,1997-04-17,Clothing,Cash,"Penningtonville, Georgia",Great service!,7,2.1,5,LG
Juan Lucas,fkramer@example.org,615-20-2396,832-570-1758x874,"54351 Christopher Burgs, Osbornmouth, ME 13993",3994.46,it,1989-05-21,Grocery,Debit Card,"Lesterview, Connecticut",Great service!,8,3.3,4,Nike
Nicole Reyes,millerjasmin@example.net,588-67-1121,873.497.8629,"USCGC Silva, FPO AP 47375",3792.85,doctor,1973-11-08,Clothing,Debit Card,"Lake Chase, Florida",Fast shipping,10,2.9,4,LG
Cynthia Thompson,nathanrandolph@example.com,304-69-2912,+1-606-865-1700x2413,"65794 Downs Flats Suite 100, Lake Scott, AL 28762",7.71,mention,2006-09-22,Clothing,Credit Card,"Gallagherfort, Wisconsin",Poor quality,9,4.1,5,LG
Holly Jennings,sherrymiller@example.net,099-52-1045,001-428-701-4445x9005,"Unit 3074 Box 2359, DPO AE 57286",5238.77,hotel,1976-05-02,Toys,PayPal,"Lake Jennifermouth, North Dakota",Fast shipping,2,2.6,3,Adidas
Christy Edwards DDS,matthew20@example.org,677-94-3061,892-599-9238x1280,"44318 Sutton Meadows, Simsburgh, IA 28154",6407.52,experience,2020-03-18,Electronics,Credit Card,"Lake Matthewchester, Wyoming",Fast shipping,7,4.4,5,Ikea
Michael Miller,brendabradley@example.org,173-07-1089,684-388-7105x7168,"73004 Elliott Pass Apt. 418, Garybury, OH 77989",8854.41,chair,2005-11-01,Electronics,Credit Card,"West Tammieville, Alaska",Great service!,6,1.2,1,Samsung
James Bass,jonathan17@example.org,890-19-4465,(426)378-2843,"47412 Robert Gardens Suite 270, Farmerborough, DC 80749",6729.9,property,2000-10-28,Grocery,Net Banking,"East Rachel, South Carolina",Not satisfied,2,1.7,3,Apple
Christopher Cook,wstewart@example.org,704-14-0976,434.610.9104,"97680 Jamie Estate Suite 671, Bobbychester, PW 66124",6801.7,public,2010-12-29,Books,Cash,"Waltersfort, Kentucky",Fast shipping,1,3.2,4,Sony
Kimberly Sherman,sheilabanks@example.net,302-05-4355,403.930.6999x79148,"97009 Roy Trail, Trevorborough, LA 63663",1720.91,woman,2000-04-10,Home,UPI,"West Nathanielberg, Pennsylvania",Great service!,7,1.1,5,Samsung
Catherine Strong,jonesmichelle@example.com,481-80-5890,+1-391-714-0879,"USNS Drake, FPO AE 37414",9248.38,task,1987-08-11,Toys,UPI,"East Cassandraport, Utah",Not satisfied,9,4.2,2,Sony
Sarah Chandler,valenciaangela@example.com,408-02-2961,001-571-534-2621x51989,"45287 Scott Land Suite 266, South Crystalton, PA 96469",4705.61,oil,1975-11-30,Furniture,Debit Card,"Lake Jacobborough, Virginia",Okay,9,2.7,3,Sony
Christopher Smith,ylucas@example.org,724-82-3420,+1-712-216-4245x62407,"6459 Waters Ridge Suite 246, Wilkinsonmouth, WA 06511",2994.89,hand,2003-10-11,Clothing,PayPal,"New Monica, Missouri",Will buy again,5,1.1,1,Sony
Brent Harris,clawrence@example.org,822-52-2768,744-782-6768x87968,"04463 Donna Bridge Suite 902, Michelemouth, PW 45545",8039.5,animal,1981-06-30,Books,PayPal,"Lake Chloeborough, Maine",Will buy again,4,1.3,3,Nike
Gary Smith,kellygriffin@example.com,434-94-2575,9524072988,"819 Cynthia Island, Tanyamouth, SD 13322",5456.88,open,1990-02-22,Furniture,PayPal,"Howardbury, Hawaii",Fast shipping,7,4.4,2,Apple
James Watson,tamara40@example.net,697-10-2079,570.242.0689x6203,"326 Barbara Plains, Autumnville, NC 79913",1962.83,story,1979-01-07,Books,Credit Card,"Port Juliaton, North Carolina",Fast shipping,4,3.4,2,Samsung
Miss Denise Wood,portermelinda@example.com,438-82-9317,336-987-7223,"6288 Darlene Isle Apt. 632, Lake Mindyside, AR 74207",1080.62,few,2005-12-19,Home,Cash,"Cherylton, Delaware",Poor quality,6,1.4,2,Sony
Matthew Shepherd,camposrebecca@example.com,714-71-0570,366.953.5135x561,"730 Paul Plain Apt. 321, Raymondhaven, ND 74237",5931.17,coach,2000-02-28,Furniture,PayPal,"Millerfort, Virginia",Poor quality,7,3.1,1,LG
Kathleen Reed,mathew39@example.com,806-65-9063,(910)224-3122,"045 Palmer Field Suite 247, South Misty, HI 36155",9413.53,nearly,1983-01-13,Furniture,Debit Card,"North Hector, Maine",Will buy again,8,2.1,1,Adidas
Dustin Brooks,jdalton@example.org,884-63-5393,542.201.2215x45382,"44377 Lisa Meadows, Woodschester, WY 15446",7028.13,detail,1996-11-25,Clothing,Cash,"North Amandashire, Colorado",Will buy again,10,3.4,5,Apple
Amanda Hernandez,lawrencemartha@example.org,206-70-1485,917.586.9118,"93317 Evans Fall, Williamborough, WA 67603",1107.25,current,1998-07-27,Home,Debit Card,"Port Andreashire, New Hampshire",Okay,10,3.1,2,LG
